30 90; 0 0; -30 30
30 89; 0 1; -29 30
30 88; 0 2; -28 30
30 87; 0 3; -27 30
30 86; 0 4; -26 30
30 85; 0 5; -25 30
30 84; 0 6; -24 30
30 83; 0 7; -23 30
30 82; 0 8; -22 30
30 81; 0 9; -21 30
30 80; 0 10; -20 30
30 79; 0 11; -19 30
30 78; 0 12; -18 30
30 77; 0 13; -17 30
30 76; 0 14; -16 30
30 75; 0 15; -15 30
30 74; 0 16; -14 30
30 73; 0 17; -13 30
30 72; 0 18; -12 30
30 71; 0 19; -11 30
30 70; 0 20; -10 30
30 69; 0 21; -9 30
30 68; 0 22; -8 30
30 67; 0 23; -7 30
30 66; 0 24; -6 30
30 65; 0 25; -5 30
30 64; 0 26; -4 30
30 63; 0 27; -3 30
30 62; 0 28; -2 30
30 61; 0 29; -1 30
30 59; 0 30; 1 30
30 58; 0 31; 2 30
30 57; 0 32; 3 30
30 56; 0 33; 4 30
30 55; 0 34; 5 30
30 54; 0 35; 6 30
30 53; 0 36; 7 30
30 52; 0 37; 8 30
30 51; 0 38; 9 30
30 50; 0 39; 10 30
30 49; 0 40; 11 30
30 48; 0 41; 12 30
30 47; 0 42; 13 30
30 46; 0 43; 14 30
30 45; 0 44; 15 30
30 44; 0 45; 16 30
30 43; 0 46; 17 30
30 42; 0 47; 18 30
30 41; 0 48; 19 30
30 40; 0 49; 20 30
30 39; 0 50; 21 30
30 38; 0 51; 22 30
30 37; 0 52; 23 30
30 36; 0 53; 24 30
30 35; 0 54; 25 30
30 34; 0 55; 26 30
30 33; 0 56; 27 30
30 32; 0 57; 28 30
30 31; 0 58; 29 30
30 30; 0 59; 30 30
30 91; 1 0; -30 29
29 87; 1 1; -29 29
29 86; 1 2; -28 29
29 85; 1 3; -27 29
29 84; 1 4; -26 29
29 83; 1 5; -25 29
29 82; 1 6; -24 29
29 81; 1 7; -23 29
29 80; 1 8; -22 29
29 79; 1 9; -21 29
29 78; 1 10; -20 29
29 77; 1 11; -19 29
29 76; 1 12; -18 29
29 75; 1 13; -17 29
29 74; 1 14; -16 29
29 73; 1 15; -15 29
29 72; 1 16; -14 29
29 71; 1 17; -13 29
